identifier,identifier 2,subject_name 1,subject_name 2,subject_name 3,subject_name 4,subject_name 5,subject_name 6,publisher,placeOfOrigin 1,placeOfOrigin 2,placeOfOrigin 3,placeOfOrigin 4,date_publication,subject_geographic 1,subject_topical 1,subject_topical 2,subject_topical 3,object_in_context_url,item_type,form,date_text,date_single_start,date_end,date_qualifier,public_note,rights,collection_title,collection_identifier,shelf_locator,record_source,repository,language,title,project_title,abstract,name,role
spc_3726,0012_000106_000497,"University of Tennessee, Knoxville | http://id.loc.gov/authorities/names/n80003889",,,,,,,,,,,,,"University of Tennessee, Knoxville--Pictorial works",,,http://kiva.lib.utk.edu/spc/items/show/3726,still image,photographs | http://vocab.getty.edu/aat/300046300,03/08/15,1915-03-08,,,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",University of Tennessee Photograph and Slide Collection,AR.0018,"Box 8, Folder 10","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,UT Landscape - Main Entrance,Special Collections Online,,Commercial Engravings Company | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,creator
spc_3970,0012_000067_000314_0001,,,,,,,,,,,,,,Knoxville (Tenn.)--History | http://id.loc.gov/authorities/subjects/sh00007640,"Knoxville (Tenn.)--Buildings, structures, etc.",,http://kiva.lib.utk.edu/spc/items/show/3970,still image,photographs | http://vocab.getty.edu/aat/300046300,1916 - 1922,1916,1922,,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Photographs of Tennessee Cities Collection,MS.0951,"Box 2, Folder 3","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,Interior of the Market House,Special Collections Online,"Knoxville's original Market House was built in 1816. During the Civil War, the Union used the Market House to store ammunition and business was conducted outside. A new Market House was built in 1897 and merchants offered a wide variety of items, including baked goods, fresh meats, and homegrown fruits and vegetables from permanent stalls and wagons parked outside. After being partially destroyed by fire, this structure was demolished to make way for the Market Street Mall in 1960. This image shows the market's meat section in the early 20th century.",unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,creator
spc_3856,0012_000067_000200_0001,,,,,,,,,,,,,,Blount County (Tenn.)--Pictorial Works,Tennessee--Pictorial works,,http://kiva.lib.utk.edu/spc/items/show/3856,still image,photographs | http://vocab.getty.edu/aat/300046300,1955,1955,,,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Photographs of Tennessee Cities Collection,MS.0951,"Box 2, Folder 1","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,Aerial View of McGhee Tyson Airport,Special Collections Online,Aerial image of the McGhee Tyson airport showing the original terminal (with apron) and traffic circle.,unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,creator
spc_3644,0012_000106_000415,"University of Tennessee, Knoxville | http://id.loc.gov/authorities/names/n80003889",,,,,,,,,,,,,"University of Tennessee, Knoxville--Pictorial works",,,http://kiva.lib.utk.edu/spc/items/show/3644,still image,photographs | http://vocab.getty.edu/aat/300046300,1941,1941,,,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",University of Tennessee Photograph and Slide Collection,AR.0018,"Box 5, Folder 10","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,Dept. of Anthropology,Special Collections Online,,unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,creator
spc_4871,cw011184,,,,,,,,,,,,,,Children | http://id.loc.gov/authorities/subjects/sh85023418,,Artwork,http://kiva.lib.utk.edu/spc/items/show/4871,still image,photographs | http://vocab.getty.edu/aat/300046300,1895-1897,1895,1897,,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Anna Catherine Wiley Sketches Collection,MS.1287,"Box 1, Folder 11","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,Pencil Figure Drawing of a Child,Special Collections Online,"Figure study, pencils","Wiley, Catherine, 1879-1958 | URI: http://id.loc.gov/authorities/names/nr92031762 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",creator
spc_3967,0012_000067_000311_0001,,,,,,,University of Tennessee,"Knoxville, Tennessee",,,,1939,,Knox County (Tenn.)--Industry,"Knoxville (Tenn.)--Buildings, structures, etc.",,http://kiva.lib.utk.edu/spc/items/show/3967,still image,photographs | http://vocab.getty.edu/aat/300046300,1939,1939,,,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Photographs of Tennessee Cities Collection,MS.0951,"Box 2, Folder 3","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,Cotton Looms at Brookside Mills,Special Collections Online,"Brookside Cotton Mills was founded in 1885. By 1902, it was Knoxville's largest employer with 1,200 employees. The mill ceased operations in 1956, and the last of its buildings was destroyed in 1997. The Development Corporation of Knox County purchased the property in 2006 with the intention of redeveloping it.",unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,creator
spc_4780,0012_000296_000272,,,,,,,,,,,,,"Dickson County (Tenn.) | URI: http://id.loc.gov/authorities/names/n82227642 | Coordinates: 36.14905, -87.35666 | Ruskin (Tenn.) | Coordinates: 36.16089, -87.51918","Education, Higher--Tennessee--History",College students | http://id.loc.gov/authorities/subjects/sh85028356,,http://kiva.lib.utk.edu/spc/items/show/4780,still image,photographs | http://vocab.getty.edu/aat/300046300,undated,1912,1965,inferred,Dates inferred from dates of archival collection.,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Ruskin Cave College Collection,MS.0335,"Box 1, Folder 2","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,Large Boat with People,Special Collections Online,A large boat with many people on it.,unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,creator
spc_4418,0012_000128_000246_0001,Scopes Trial,"Scopes, John Thomas | http://id.loc.gov/authorities/names/n79041823","Bryan, William Jennings, 1860-1925 | http://id.loc.gov/authorities/names/n80044871","Robinson, Wallace Clarke, 1920-1995","Robinson, Frank Earle, 1881-1957","Robinson, Frank Earle, 1881-1957",,,,,,,,,,,http://kiva.lib.utk.edu/spc/items/show/4418,still image,photographs | http://vocab.getty.edu/aat/300046300,1925,1925,,,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.","W.C. Robinson Collection of Scopes Trial Photographs, circa 1925, circa 1976",MS.1091,"Box 1, Folder 1","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,Arguing a Motion During Trial,Special Collections Online,"Scopes Trial Photographs, circa 1925, A-17 or A-53, Arguing a Motion During Trial, Judge Raulston at right front, newspaper reporters at left front, defense attorneys at table in center (same as A-53)",unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,creator
spc_4039,0012_000067_000383_0001,,,,,,,,,,,,,,"Knoxville (Tenn.)--History--Siege, 1863 | http://id.loc.gov/authorities/subjects/sh00000736",,"Knoxville (Tenn.)--Buildings, structures, etc.",http://kiva.lib.utk.edu/spc/items/show/4039,still image,photographs | http://vocab.getty.edu/aat/300046300,1863,1863,,,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Photographs of Tennessee Cities Collection,MS.0951,"Box 2, Folder 4","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,"View of Knoxville, Tennessee",Special Collections Online,View of Knoxville taken from the fortifications at Fort Sanders during the Civil War. Among the visible structures are the old Knoxville Court House and the homes of several prominent Knoxvillians.,unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,creator
spc_3564,0012_000106_000335,"University of Tennessee, Knoxville | http://id.loc.gov/authorities/names/n80003889",,,,,,,,,,,,,,,,http://kiva.lib.utk.edu/spc/items/show/3564,still image,photographs | http://vocab.getty.edu/aat/300046300,10/01/66,1966-10-01,,,,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",University of Tennessee Photograph and Slide Collection,AR.0018,"Box 3, Folder 14","University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",zxx,U.T. Band on the football field,Special Collections Online,U.T. Band on the football field,unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,creator
